SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,54:13.5,96,33,0,-0.017,10.031,9.016,11.026,11.023,18.039,13.029,-0.002,6.041,6.052,14.079,11.048,8.024,31.143,17.019,7.013,12.062,11.032,14.028,19.087,25.118,22.063,13.039,9.049,4.992,20.062,16.047,23.085,22.088,20.070,16.062,3.033,11.058,33.115,20.039,10.059,15.086,18.086,12.055,4.009,17.095,12.041,10.059,16.084,16.072,21.047,22.087,7.032,8.007,11.036,6.008,6.974,15.065,16.055,17.038,1.004,4.022,3.042,0.028,15.078,20.067,17.073,9.028,0.999,7.001,6.016,16.061,16.087,22.084,22.079,26.092,4.006,14.037,10.023,20.099,20.050,23.082,20.063,27.083,7.024,13.062,18.078,23.096,24.066,18.036,21.065,8.035,-0.038,0.000,-0.016,-0.028,0.020,0.003,1.004,0.010,0.008
1,54:13.5,96,33,0,-0.004,10.002,9.065,11.047,11.020,18.075,13.025,0.008,6.005,6.000,14.060,11.072,8.019,31.115,17.044,7.037,12.044,11.023,14.088,19.087,25.072,22.101,13.026,9.032,5.008,20.070,16.062,23.075,22.104,20.078,16.075,3.010,11.044,33.091,20.072,10.022,15.081,18.073,12.023,4.030,17.048,12.066,10.030,16.063,16.082,21.033,22.083,7.002,8.051,11.037,6.028,7.023,15.028,16.033,17.078,0.990,4.011,3.023,-0.001,15.063,20.078,17.053,9.034,1.004,7.011,6.016,16.082,16.050,22.089,22.093,26.083,3.997,14.039,10.046,20.044,20.079,23.068,20.058,27.115,6.999,13.044,18.053,23.102,24.099,18.070,21.043,8.019,-0.008,0.019,-0.029,0.015,-0.001,-0.003,1.011,-0.005,-0.003
2,54:13.5,96,33,0,0.021,10.010,9.034,11.019,11.070,18.066,13.042,0.017,6.030,6.011,14.048,11.059,8.001,31.099,17.054,7.020,12.064,11.050,14.029,19.054,25.056,22.092,13.023,9.039,5.001,20.058,16.074,23.051,22.071,20.070,16.052,3.008,11.034,33.127,20.081,10.070,15.051,18.064,12.027,4.021,17.064,12.053,10.028,16.032,16.067,21.122,22.087,7.063,8.041,11.020,6.028,7.037,15.033,16.037,17.029,1.026,4.029,2.989,-0.018,15.042,20.043,17.054,9.021,1.012,7.039,5.988,16.069,16.067,22.074,22.098,26.078,3.984,14.027,10.003,20.048,20.084,23.081,20.066,27.136,7.048,13.082,18.054,23.095,24.103,18.077,21.062,8.013,-0.007,0.010,0.007,-0.006,-0.002,-0.030,0.959,-0.002,0.024
3,54:13.5,96,33,0,0.016,10.043,9.039,11.029,11.041,18.054,13.037,0.014,6.031,6.006,14.038,11.062,8.012,31.137,17.087,7.031,12.027,11.054,14.074,19.049,25.097,22.058,13.010,9.024,5.018,20.052,16.063,23.078,22.092,20.075,16.059,3.026,11.045,33.130,20.072,10.004,15.063,18.063,12.067,4.044,17.064,12.040,10.046,16.086,16.051,21.089,22.062,7.040,8.042,11.044,6.049,7.048,15.065,16.041,17.064,0.993,3.979,2.999,0.011,15.070,20.044,17.052,9.015,1.003,7.036,6.029,16.069,16.049,22.073,22.107,26.105,4.025,14.081,10.050,20.080,20.083,23.052,20.069,27.084,7.020,13.044,18.089,23.071,24.095,18.077,21.065,8.043,0.004,-0.015,-0.021,0.003,-0.004,0.002,0.993,-0.005,-0.008
4,54:13.5,96,33,0,0.023,10.050,9.055,11.035,11.044,18.028,13.082,0.026,6.028,5.988,14.045,11.052,7.987,31.097,17.043,7.008,12.052,11.064,14.043,19.085,25.096,22.103,13.020,9.019,5.030,20.066,16.065,23.070,22.048,20.109,16.041,3.022,11.048,33.149,20.090,10.017,15.050,18.051,12.045,4.030,17.104,12.062,10.052,16.058,16.059,21.050,22.081,7.006,8.010,11.027,6.026,7.006,15.031,16.037,17.021,1.045,4.001,2.999,0.000,15.055,20.079,17.073,9.044,0.991,7.035,6.040,16.086,16.058,22.064,22.087,26.107,3.991,14.036,10.048,20.085,20.037,23.084,20.056,27.066,7.013,13.041,18.073,23.055,24.118,18.053,21.066,8.034,0.013,0.015,0.007,0.004,0.022,0.008,1.015,0.013,0.028
5,54:13.5,96,33,0,0.008,10.027,9.029,11.062,11.046,18.080,13.071,-0.008,6.016,6.015,14.071,11.025,8.039,31.122,17.064,7.023,12.046,11.045,14.054,19.077,25.121,22.051,13.044,9.051,5.004,20.102,16.058,23.095,22.100,20.096,16.068,3.026,11.051,33.113,20.026,10.038,15.068,18.046,12.029,4.000,17.110,12.070,10.008,16.095,16.071,21.067,22.081,7.044,8.024,11.055,5.994,7.040,15.039,16.081,17.094,0.993,4.015,2.995,0.013,15.049,20.055,17.061,9.057,1.005,7.040,6.016,16.078,16.080,22.069,22.091,26.073,4.020,14.069,10.038,20.057,20.074,23.087,20.056,27.100,7.011,13.033,18.093,23.067,24.079,18.083,21.067,8.024,-0.005,-0.023,-0.006,0.013,-0.011,-0.000,1.006,-0.001,0.025
6,54:13.5,96,33,0,0.018,10.029,9.020,11.045,11.053,18.030,13.044,0.007,6.052,6.006,14.085,10.988,8.034,31.096,17.066,7.025,12.004,11.026,14.032,19.041,25.115,22.085,13.017,9.041,5.013,20.091,16.071,23.068,22.050,20.081,16.063,3.048,11.032,33.118,20.102,10.046,15.039,18.054,12.016,4.017,17.052,12.011,10.036,16.059,16.064,21.075,22.077,7.026,8.000,11.052,6.020,7.030,15.046,16.078,17.069,1.037,4.027,2.991,0.017,15.030,20.055,17.082,9.045,0.980,7.057,6.023,16.055,16.061,22.085,22.088,26.091,4.002,14.081,9.983,20.042,20.061,23.123,20.028,27.100,7.031,13.038,18.057,23.097,24.106,18.076,21.086,8.042,0.031,-0.026,-0.019,-0.028,0.001,0.002,0.995,0.011,-0.022
7,54:13.6,96,33,0,-0.000,10.019,9.043,11.035,11.042,18.078,13.040,-0.012,6.011,6.008,14.054,11.023,8.045,31.119,17.106,7.013,12.012,11.068,14.029,19.070,25.109,22.100,13.049,9.071,4.971,20.072,16.061,23.070,22.070,20.078,16.080,3.043,11.064,33.149,20.056,10.045,15.081,18.068,12.038,4.027,17.038,12.049,10.039,16.063,16.056,21.061,22.065,7.083,8.032,11.030,6.017,7.064,15.067,16.048,17.068,1.010,3.998,3.008,-0.012,15.061,20.071,17.057,9.035,1.028,7.024,6.023,16.056,16.060,22.042,22.054,26.097,4.025,14.059,10.048,20.052,20.051,23.057,20.064,27.102,7.020,13.053,18.052,23.066,24.097,18.072,21.050,8.052,-0.025,0.004,-0.019,0.028,0.002,0.018,1.003,-0.011,-0.001
8,54:13.6,96,33,0,-0.033,10.038,9.031,11.084,11.053,18.098,13.044,-0.024,6.008,6.037,14.016,11.038,8.052,31.114,17.048,7.014,12.035,11.054,14.056,19.074,25.098,22.075,13.064,9.044,5.025,20.075,16.043,23.077,22.088,20.083,16.076,3.027,11.056,33.125,20.057,10.069,15.021,18.066,12.043,4.022,17.056,12.037,10.049,16.047,16.067,21.084,22.096,7.048,8.045,11.021,6.011,7.042,15.065,16.090,17.089,1.036,4.005,3.019,0.017,15.064,20.091,17.084,9.036,1.002,7.019,6.019,16.055,16.075,22.074,22.080,26.092,4.005,14.044,10.066,20.107,20.055,23.062,20.070,27.108,7.021,13.057,18.032,23.124,24.089,18.076,21.106,8.037,-0.010,0.021,-0.009,0.008,0.014,0.005,0.984,-0.035,-0.016
9,54:13.6,96,33,0,-0.016,10.037,9.050,11.013,11.055,18.080,13.025,-0.014,6.049,6.018,14.067,11.056,8.004,31.117,17.073,7.004,12.034,11.040,14.074,19.091,25.075,22.081,13.049,9.026,4.991,20.084,16.060,23.032,22.078,20.090,16.039,3.025,11.060,33.126,20.101,10.060,15.068,18.068,12.031,4.018,17.053,12.040,10.036,16.027,16.074,21.098,22.101,7.017,8.032,11.030,6.046,7.030,15.012,16.080,17.059,0.995,4.026,3.001,0.022,15.053,20.060,17.072,9.022,0.987,7.024,6.018,16.058,16.093,22.071,22.108,26.113,4.041,14.036,10.053,20.071,20.067,23.092,20.088,27.073,7.018,13.059,18.050,23.078,24.067,18.090,21.097,8.035,0.010,0.017,0.001,-0.010,-0.006,0.002,0.994,0.000,-0.014
10,54:13.6,96,33,0,0.020,10.039,9.047,11.057,11.032,18.069,13.014,-0.004,6.019,6.025,14.014,11.016,8.054,31.107,17.063,7.021,12.049,11.031,14.058,19.058,25.085,22.105,13.046,8.996,4.999,20.089,16.085,23.104,22.118,20.085,16.080,3.004,11.067,33.118,20.099,10.047,15.045,18.059,12.050,4.017,17.069,12.011,10.026,16.038,16.072,21.058,22.084,6.980,8.037,11.039,6.025,7.013,15.065,16.046,17.068,0.966,4.023,2.998,-0.010,15.057,20.044,17.067,9.026,0.950,7.019,6.045,16.041,16.083,22.089,22.106,26.107,4.034,14.083,10.038,20.065,20.059,23.065,20.063,27.102,7.006,13.060,18.056,23.068,24.097,18.058,21.061,8.044,-0.014,-0.022,0.001,0.010,-0.003,0.041,1.020,-0.002,0.038
11,54:13.6,96,33,0,0.019,10.009,8.999,11.033,11.026,18.063,13.053,-0.002,6.025,6.038,14.049,11.025,8.053,31.089,17.079,7.043,12.055,11.062,14.041,19.068,25.081,22.064,13.008,9.046,5.008,20.078,16.030,23.083,22.052,20.060,16.077,2.967,10.999,33.103,20.056,10.029,15.040,18.054,12.046,4.011,17.056,12.084,10.010,16.028,16.036,21.051,22.096,7.050,8.061,11.031,6.017,6.996,15.078,16.039,17.070,0.970,4.035,3.002,0.001,15.046,20.052,17.031,9.019,0.969,7.020,6.017,16.065,16.066,22.059,22.104,26.098,4.016,14.051,10.074,20.083,20.049,23.081,20.075,27.118,7.032,13.041,18.063,23.065,24.093,18.052,21.044,7.988,0.018,0.005,0.010,0.020,0.002,-0.024,0.976,0.007,-0.022
12,54:13.6,96,33,0,0.007,10.017,9.020,11.046,11.049,18.044,13.024,-0.004,6.005,6.021,14.045,11.006,8.002,31.094,17.072,7.018,12.065,11.044,14.046,19.079,25.063,22.053,13.039,9.000,4.993,20.060,16.049,23.099,22.063,20.103,16.067,3.023,11.038,33.112,20.068,10.009,15.052,18.064,12.029,4.027,17.001,11.999,10.057,16.054,16.040,21.094,22.057,7.018,8.038,11.031,6.015,7.032,15.065,16.062,17.036,1.012,4.011,3.035,0.004,15.083,20.058,17.034,9.018,1.015,7.028,6.024,16.022,16.053,22.074,22.078,26.081,4.004,14.078,10.038,20.058,20.071,23.091,20.097,27.115,8.030,13.060,18.081,23.057,24.083,18.043,21.058,8.054,-0.009,0.003,0.020,0.003,-0.028,-0.016,0.990,-0.003,0.030
13,54:13.6,96,33,0,0.007,10.053,9.011,11.056,11.046,18.070,13.018,0.015,6.013,6.033,14.021,11.034,8.017,31.135,17.080,7.026,12.081,11.030,14.057,19.054,25.086,22.070,13.074,9.042,4.985,20.079,16.085,23.079,22.093,20.073,16.028,3.021,11.038,33.085,20.045,10.052,15.045,18.068,12.030,4.023,17.037,12.044,10.011,16.048,16.061,21.057,22.065,7.016,8.016,11.023,6.022,7.032,15.107,16.079,17.044,1.037,4.001,2.997,-0.022,15.080,20.052,17.041,9.008,1.003,7.031,6.012,16.064,16.039,22.069,22.076,26.119,4.004,14.041,10.061,20.057,20.068,23.087,20.077,27.080,8.026,13.054,18.061,23.106,24.107,18.104,21.075,8.003,0.029,0.003,-0.005,0.024,0.010,0.012,1.025,-0.021,-0.036
14,54:13.6,96,33,0,0.015,10.041,9.032,11.027,11.026,18.031,13.074,-0.003,6.021,6.001,14.056,11.047,8.045,31.090,17.046,7.028,12.038,11.026,14.035,19.067,25.086,22.084,13.057,9.015,5.039,20.051,16.051,23.058,22.077,20.056,16.067,3.014,11.006,33.137,20.088,10.010,15.047,18.058,12.047,3.956,17.053,12.023,10.065,16.084,16.092,21.061,22.080,7.023,8.059,11.052,6.036,7.038,15.063,16.041,17.053,0.973,4.058,3.018,0.031,15.040,20.030,17.045,9.034,0.998,7.020,6.007,16.034,16.068,22.068,22.075,26.071,4.052,14.019,10.040,20.058,20.030,23.070,20.085,27.090,7.984,13.054,18.038,23.082,24.089,18.069,21.081,8.020,-0.022,0.027,-0.027,0.040,0.001,0.007,1.018,-0.023,0.045
15,54:13.6,96,33,0,-0.008,10.032,9.034,11.043,11.050,18.038,13.073,-0.018,5.988,6.020,14.053,11.075,8.034,31.109,17.055,7.017,12.056,11.017,14.045,19.066,25.074,22.068,13.049,9.059,5.014,20.085,16.070,23.057,22.050,20.064,16.061,2.990,11.035,33.110,20.069,10.037,15.065,18.070,12.043,4.044,17.058,12.085,10.027,16.056,16.051,21.054,22.086,7.018,8.033,11.027,6.033,6.975,15.065,16.090,17.079,1.001,4.033,3.007,0.008,15.056,20.101,17.063,9.075,0.985,7.037,6.006,16.045,16.052,22.089,22.075,26.152,4.019,14.085,10.042,20.064,20.055,23.077,20.057,27.111,8.009,13.032,18.056,23.102,24.089,18.071,21.067,8.057,-0.029,-0.008,-0.010,-0.001,0.006,-0.001,1.038,-0.006,-0.016
