SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-16 20:02:48.161,96,38,0,-0.005,19.068,16.073,14.043,10.048,9.034,0.002,0.008,17.057,11.041,28.125,19.060,6.019,32.115,7.027,0.001,30.102,32.093,28.103,20.048,21.066,25.073,10.047,-0.024,15.052,24.073,38.129,25.079,22.072,24.091,15.049,0.008,7.035,21.066,27.095,13.047,22.077,24.085,16.070,4.019,16.046,13.055,14.054,23.072,24.108,26.091,20.079,4.003,9.033,24.080,18.066,22.075,24.076,17.065,17.057,1.003,6.045,12.049,13.042,25.085,22.052,18.059,9.032,-0.004,7.015,15.052,15.066,23.088,16.053,18.067,24.077,4.013,6.037,19.056,30.087,29.094,21.078,23.085,14.062,6.024,3.012,19.053,24.090,26.087,25.060,13.037,7.038,-0.021,-0.010,-0.005,-0.009,3.997,2.993,6.012,1.000,0.006
1,2025-04-16 20:02:48.171,96,38,0,-0.009,19.054,16.070,14.054,10.032,9.030,0.024,0.006,17.054,11.035,28.084,19.063,6.017,32.125,7.033,-0.019,30.110,32.107,28.084,20.067,21.085,25.089,10.047,-0.004,15.055,24.091,38.157,25.083,22.083,24.079,15.049,-0.018,7.011,21.060,27.087,13.045,22.079,24.095,16.055,4.001,16.055,13.060,14.042,23.070,24.085,26.101,20.071,4.008,9.038,24.097,18.070,22.065,24.096,17.056,17.065,1.023,6.023,12.030,13.063,25.081,22.083,18.067,9.017,-0.022,7.034,15.045,15.038,23.093,16.058,18.072,24.084,4.010,6.014,19.058,30.094,29.103,21.062,23.084,14.062,6.024,2.998,19.045,24.096,26.099,25.091,13.032,7.015,-0.012,0.004,-0.004,-0.009,4.014,2.996,6.004,1.003,-0.003
2,2025-04-16 20:02:48.182,96,38,0,-0.006,19.074,16.057,14.020,10.033,9.048,0.003,-0.013,17.072,11.050,28.089,19.080,6.035,32.099,7.050,0.001,30.085,32.096,28.099,20.083,21.051,25.103,10.051,-0.015,15.062,24.086,38.154,25.069,22.070,24.069,15.046,-0.007,7.025,21.059,27.089,13.057,22.086,24.104,16.033,4.000,16.054,13.033,14.063,23.059,24.069,26.109,20.082,4.020,9.043,24.085,18.058,22.070,24.077,17.077,17.074,0.985,6.012,12.032,13.038,25.090,22.071,18.058,9.027,0.012,7.009,15.062,15.042,23.087,16.063,18.052,24.088,4.006,6.037,19.070,30.095,29.102,21.059,23.077,14.054,6.027,3.013,19.056,24.088,26.094,25.089,13.031,7.020,-0.012,-0.004,0.000,-0.010,4.019,3.008,6.009,0.996,0.014
3,2025-04-16 20:02:48.202,96,38,0,-0.025,19.073,16.067,14.040,10.040,9.052,-0.004,0.008,17.055,11.033,28.111,19.060,6.028,32.120,7.024,-0.022,30.101,32.126,28.086,20.082,21.065,25.074,10.052,0.017,15.060,24.071,38.138,25.080,22.090,24.077,15.069,-0.000,7.018,21.083,27.103,13.037,22.051,24.080,16.061,4.001,16.037,13.040,14.029,23.079,24.089,26.084,20.069,4.002,9.011,24.099,18.036,22.055,24.087,17.063,17.041,1.012,6.033,12.036,13.049,25.086,22.091,18.066,9.026,-0.010,7.026,15.051,15.039,23.075,16.033,18.078,24.064,3.997,6.043,19.070,30.114,29.108,21.069,23.087,14.052,6.009,3.009,19.069,24.105,26.073,25.095,13.040,7.042,-0.003,0.024,-0.009,0.003,4.013,3.034,6.028,1.006,-0.005
4,2025-04-16 20:02:48.210,96,38,0,0.002,19.072,16.046,14.050,10.036,9.042,0.002,0.004,17.060,11.018,28.086,19.046,6.026,32.117,7.031,0.017,30.100,32.102,28.082,20.064,21.073,25.069,10.026,-0.015,15.049,24.082,38.141,25.099,22.081,24.069,15.074,0.001,7.032,21.084,27.093,13.041,22.085,24.080,16.047,4.015,16.063,13.072,14.049,23.099,24.099,26.096,20.040,4.010,9.025,24.097,18.064,22.083,24.092,17.068,17.043,1.019,6.018,12.033,13.015,25.098,22.076,18.067,9.025,0.007,7.027,15.045,15.053,23.086,16.040,18.039,24.095,4.015,6.018,19.074,30.110,29.102,21.058,23.069,14.050,6.027,3.033,19.076,24.102,26.077,25.070,13.047,7.020,-0.002,0.003,-0.013,-0.001,4.014,2.994,6.001,1.015,0.012
5,2025-04-16 20:02:48.222,96,38,0,-0.010,19.074,16.048,14.050,10.030,9.040,0.014,0.025,17.054,11.043,28.103,19.056,6.022,32.099,7.033,-0.007,30.109,32.134,28.099,20.066,21.074,25.093,10.024,0.032,15.061,24.075,38.132,25.102,22.066,24.071,15.041,0.009,7.012,21.076,27.112,13.050,22.078,24.083,16.038,4.014,16.057,13.041,14.061,23.105,24.083,26.077,20.082,4.016,9.040,24.096,18.071,22.080,24.082,17.050,17.071,1.001,6.018,12.050,13.042,25.088,22.082,18.059,9.026,0.005,7.031,15.045,15.056,23.070,16.058,18.062,24.103,4.005,6.025,19.053,30.092,29.081,21.066,23.065,14.036,6.005,3.005,19.063,24.072,26.074,25.080,13.044,7.031,0.005,-0.012,-0.003,0.004,4.020,3.021,6.028,1.000,0.043
6,2025-04-16 20:02:48.233,96,38,0,-0.028,19.081,16.058,14.026,10.022,9.032,0.004,0.011,17.076,11.020,28.086,19.076,6.013,32.118,7.002,0.002,30.120,32.107,28.097,20.067,21.068,25.088,10.015,-0.018,15.048,24.051,38.125,25.102,22.079,24.091,15.067,0.006,7.043,21.068,27.093,13.052,22.047,24.071,16.069,3.997,16.049,13.054,14.062,23.110,24.107,26.108,20.077,4.008,9.053,24.081,18.068,22.068,24.091,17.056,17.050,0.982,6.024,12.040,13.026,25.088,22.066,18.071,9.025,-0.012,7.044,15.044,15.068,23.077,16.057,18.062,24.060,4.004,6.021,19.063,30.138,29.093,21.074,23.081,14.037,6.026,3.014,19.077,24.088,26.070,25.103,13.058,7.025,-0.007,0.020,0.007,0.016,4.024,3.009,6.014,0.976,0.012
7,2025-04-16 20:02:48.243,96,38,0,-0.011,19.065,16.052,14.042,10.033,9.032,0.008,-0.004,17.076,11.027,28.090,19.058,6.014,32.127,7.035,0.010,30.109,32.117,28.076,20.056,21.083,25.078,10.042,-0.004,15.043,24.095,38.153,25.101,22.065,24.086,15.036,0.008,7.046,21.077,27.084,13.045,22.069,24.087,16.048,4.008,16.049,13.053,14.029,23.079,24.102,26.105,20.069,4.030,9.028,24.074,18.062,22.069,24.090,17.058,17.070,0.993,6.011,12.041,13.053,25.068,22.068,18.085,9.001,-0.008,7.030,15.059,15.045,23.076,16.055,18.066,24.119,4.007,6.020,19.063,30.093,29.087,21.070,23.078,14.047,6.015,3.012,19.062,24.096,26.078,25.093,13.068,7.020,-0.019,-0.025,0.017,0.014,4.005,3.026,6.030,0.996,-0.007
8,2025-04-16 20:02:48.253,96,38,0,-0.003,19.075,16.041,14.044,10.043,9.027,-0.012,0.007,17.055,11.059,28.100,19.061,6.016,32.126,7.018,-0.004,30.129,32.112,28.106,20.078,21.082,25.091,10.038,-0.007,15.063,24.094,38.131,25.095,22.044,24.090,15.049,0.018,7.013,21.065,27.073,13.044,22.081,24.069,16.050,4.032,16.063,13.050,14.028,23.067,24.106,26.116,20.074,3.997,9.010,24.094,18.063,22.099,24.078,17.060,17.066,1.016,6.011,12.051,13.051,25.086,22.095,18.058,9.012,-0.009,7.045,15.059,15.066,23.079,16.035,18.069,24.085,3.997,6.020,19.059,30.102,29.119,21.081,23.082,14.036,6.017,2.992,19.065,24.088,26.094,25.086,13.035,7.029,0.005,0.006,0.002,0.002,4.029,3.007,6.025,0.981,-0.012
9,2025-04-16 20:02:48.263,96,38,0,-0.002,19.055,16.063,14.058,10.040,9.032,0.010,0.009,17.066,11.056,28.096,19.063,6.012,32.095,7.022,0.005,30.112,32.130,28.089,20.075,21.080,25.070,10.013,-0.014,15.057,24.089,38.156,25.061,22.088,24.091,15.053,-0.004,7.048,21.059,27.088,13.036,22.087,24.066,16.042,4.010,16.058,13.039,14.043,23.074,24.086,26.091,20.094,4.000,9.028,24.075,18.061,22.076,24.071,17.048,17.058,0.988,6.007,12.063,13.051,25.094,22.074,18.053,9.045,-0.016,7.041,15.052,15.024,23.074,16.045,18.054,24.086,4.016,6.024,19.038,30.102,29.101,21.075,23.081,14.047,6.048,3.016,19.078,24.089,26.097,25.078,13.035,7.029,-0.009,-0.018,0.005,-0.016,4.023,2.995,6.030,0.999,0.001
