SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-16 20:01:17.540,96,41,0,-0.007,5.990,10.936,2.976,6.965,11.938,9.980,1.026,6.971,7.004,16.945,12.948,11.935,21.915,15.960,7.983,6.973,10.967,18.904,14.940,13.921,21.899,22.914,7.997,8.942,8.960,14.936,15.955,25.901,17.917,19.922,5.988,8.982,9.960,22.930,13.939,15.934,16.921,23.911,9.956,15.932,0.986,9.952,22.927,24.915,23.926,21.927,9.963,6.985,9.997,4.976,14.935,22.957,17.940,16.926,7.958,10.955,7.985,7.949,18.939,19.933,20.930,8.935,8.960,9.950,10.991,17.949,24.922,25.906,24.921,22.910,7.966,14.972,12.946,22.892,31.876,25.898,26.901,27.899,17.955,18.935,25.905,32.883,40.835,32.885,24.900,12.951,6.970,0.971,6.981,9.932,15.941,15.967,9.954,7.971,-0.017
1,2025-04-16 20:01:17.550,96,41,0,0.022,5.972,10.968,2.991,6.952,11.955,9.979,0.996,6.979,7.015,16.956,12.935,11.959,21.904,15.921,7.956,6.999,10.942,18.929,14.930,13.940,21.901,22.941,7.955,8.933,8.978,14.914,15.937,25.901,17.941,19.940,5.979,8.955,9.977,22.910,13.966,15.941,16.942,23.899,9.969,15.961,0.997,9.981,22.933,24.910,23.907,21.922,9.971,6.973,9.964,4.986,14.925,22.909,17.939,16.943,7.975,10.945,7.963,7.960,18.928,19.937,20.924,8.960,8.965,9.954,10.963,17.926,24.898,25.916,24.895,22.936,7.982,14.964,12.970,22.907,31.874,25.896,26.911,27.888,17.926,18.928,25.894,32.879,40.842,32.877,24.907,12.962,6.981,0.980,6.995,9.957,15.924,15.950,9.937,7.955,0.005
2,2025-04-16 20:01:17.560,96,41,0,-0.001,5.990,10.943,3.032,6.966,11.958,9.971,0.988,6.961,6.990,16.959,12.938,11.946,21.908,15.910,7.970,6.996,10.972,18.951,14.953,13.939,21.900,22.905,7.944,8.966,8.949,14.942,15.944,25.907,17.910,19.928,5.985,8.975,9.946,22.896,13.959,15.967,16.947,23.909,9.947,15.922,0.997,9.944,22.932,24.903,23.902,21.930,9.989,6.956,9.952,5.009,14.945,22.917,17.948,16.948,7.972,10.980,7.949,7.968,18.917,19.909,20.921,8.951,8.956,9.977,10.967,17.923,24.903,25.872,24.911,22.925,7.984,14.932,12.948,22.931,31.867,25.895,26.901,27.882,17.954,18.951,25.906,32.894,40.833,32.888,24.908,12.936,6.943,0.985,7.002,9.999,15.919,15.959,9.988,7.991,0.022
3,2025-04-16 20:01:17.571,96,41,0,0.006,5.952,10.957,2.955,6.979,11.991,9.956,0.995,6.970,6.985,16.955,12.944,11.961,21.933,15.951,7.970,6.968,10.992,18.934,14.947,13.952,21.914,22.917,7.963,8.958,8.944,14.929,15.981,25.901,17.921,19.924,5.943,8.970,9.967,22.908,13.944,15.949,16.962,23.886,9.952,15.931,1.011,9.964,22.923,24.918,23.911,21.913,9.955,7.000,9.993,4.978,14.955,22.934,17.962,16.925,7.974,10.963,7.940,7.969,18.919,19.919,20.921,8.979,8.942,9.957,10.986,17.934,24.912,25.904,24.909,22.927,7.964,14.968,12.950,22.938,31.895,25.896,26.889,27.867,17.950,18.943,25.875,32.853,40.813,32.857,24.902,12.960,6.944,0.982,6.981,9.957,15.929,15.932,9.927,7.961,0.008
4,2025-04-16 20:01:17.592,96,41,0,0.005,6.009,10.960,3.031,6.973,11.956,9.978,0.963,6.974,6.960,16.927,12.945,11.914,21.911,15.952,7.970,6.993,10.963,18.909,14.946,13.967,21.921,22.913,7.982,8.962,8.951,14.951,15.952,25.894,17.911,19.914,5.999,8.977,9.975,22.914,13.947,15.950,16.914,23.939,9.954,15.952,0.982,9.973,22.920,24.903,23.911,21.919,9.955,6.949,9.972,4.982,14.949,22.928,17.938,16.913,7.969,10.958,8.000,7.977,18.927,19.923,20.951,8.978,8.969,9.946,10.986,17.959,24.897,25.896,24.912,22.911,7.987,14.935,12.926,22.915,31.851,25.903,26.900,27.896,17.956,18.917,25.935,32.864,40.823,32.876,24.938,12.938,6.964,1.000,7.005,9.946,15.969,15.977,9.959,7.974,0.044
5,2025-04-16 20:01:17.602,96,41,0,-0.008,5.978,10.944,3.016,7.002,11.948,9.974,0.944,6.964,6.947,16.926,12.945,11.960,21.924,15.941,7.954,6.947,10.928,18.947,14.953,13.942,21.911,22.911,7.974,8.971,8.950,14.974,15.942,25.905,17.947,19.921,5.996,8.995,9.995,22.881,13.940,15.930,16.952,23.865,9.937,15.950,1.012,9.945,22.916,24.888,23.889,21.918,9.961,6.974,9.952,4.971,14.951,22.919,17.953,16.964,7.985,10.939,7.966,7.959,18.932,19.938,20.918,8.970,8.954,9.962,10.952,17.922,24.890,25.905,24.928,22.924,7.987,14.937,12.943,22.917,31.866,25.900,26.885,27.873,17.915,18.942,25.878,32.876,40.831,32.859,24.908,12.952,6.956,0.995,6.986,9.989,15.959,15.904,9.964,7.991,-0.046
6,2025-04-16 20:01:17.613,96,41,0,-0.013,5.952,10.962,2.971,6.981,11.958,9.942,0.976,6.987,7.003,16.901,12.941,11.940,21.903,15.949,7.950,6.959,10.929,18.931,14.920,13.942,21.930,22.909,7.971,8.952,8.974,14.983,15.920,25.905,17.945,19.907,5.984,8.940,9.984,22.911,13.940,15.916,16.935,23.896,9.966,15.935,0.998,9.989,22.893,24.885,23.939,21.932,9.945,6.982,9.947,4.988,14.924,22.888,17.953,16.933,7.952,10.945,7.995,7.971,18.958,19.935,20.931,8.970,8.977,9.958,10.960,17.945,24.888,25.931,24.876,22.921,7.989,14.953,12.943,22.928,31.867,25.898,26.872,27.904,17.937,18.904,25.898,32.891,40.844,32.854,24.910,12.942,6.964,0.987,6.970,9.974,15.936,15.955,9.968,7.979,-0.002
7,2025-04-16 20:01:17.623,96,41,0,-0.011,5.967,10.958,2.991,6.967,11.936,9.979,0.980,6.983,6.960,16.961,12.948,11.949,21.909,15.962,7.945,6.976,10.951,18.960,14.935,13.966,21.936,22.950,7.971,8.965,8.968,14.955,15.956,25.917,17.965,19.948,5.991,8.968,9.966,22.917,13.930,15.936,16.919,23.909,9.960,15.927,1.008,9.984,22.929,24.878,23.923,21.904,9.948,6.980,9.977,4.986,14.938,22.911,17.912,16.952,7.971,10.944,7.970,7.967,18.927,19.947,20.900,8.973,8.988,9.944,10.960,17.915,24.906,25.883,24.894,22.909,7.957,14.952,12.936,22.903,31.875,25.897,26.933,27.851,17.936,18.919,25.896,32.858,40.837,32.877,24.905,12.951,6.997,1.008,6.960,9.955,15.953,15.932,9.995,7.985,-0.005
8,2025-04-16 20:01:17.634,96,41,0,0.023,5.987,10.938,3.016,6.999,11.952,9.964,0.985,6.975,6.972,16.964,12.922,11.925,21.915,15.971,7.942,6.975,10.972,18.925,14.989,13.939,21.938,22.928,7.958,8.948,8.960,14.922,15.964,25.891,17.945,19.913,5.982,8.964,9.969,22.924,13.935,15.942,16.961,23.907,9.960,15.939,1.008,9.975,22.912,24.922,23.928,21.946,9.978,6.989,9.979,4.964,14.920,22.920,17.968,16.916,7.986,10.957,7.930,7.969,18.916,19.938,20.928,8.971,8.966,9.964,10.953,17.966,24.903,25.921,24.908,22.905,7.975,14.930,12.981,22.901,31.867,25.909,26.920,27.895,17.904,18.925,25.936,32.868,40.863,32.888,24.926,12.953,6.997,0.989,6.967,9.929,15.965,15.934,9.962,7.953,-0.007
9,2025-04-16 20:01:17.644,96,41,0,0.003,5.985,10.987,2.988,6.964,11.952,9.966,0.993,6.972,6.957,16.931,12.951,11.928,21.933,15.948,7.958,6.976,10.975,18.898,14.941,13.961,21.924,22.951,7.988,8.973,8.998,14.955,15.956,25.940,17.903,19.922,5.972,8.949,9.991,22.948,13.943,15.934,16.937,23.908,9.951,15.923,0.982,9.968,22.930,24.913,23.884,21.914,9.932,6.969,9.954,4.983,14.963,22.926,17.948,16.954,7.968,10.975,7.943,7.965,18.930,19.926,20.944,8.997,8.969,9.952,10.936,17.937,24.909,25.892,24.892,22.923,7.987,14.966,12.930,22.898,31.890,25.911,26.896,27.889,17.889,18.928,25.901,32.880,40.861,32.867,24.926,12.960,6.977,1.006,6.967,9.946,15.922,15.923,9.979,7.974,-0.015
