SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-16 20:01:17.540,96,41,0,0.004,5.957,10.928,3.005,6.924,11.842,9.951,1.022,6.985,7.004,16.872,12.901,11.884,21.822,15.898,7.874,6.964,10.905,18.851,14.859,13.871,21.810,22.822,7.915,8.892,8.959,14.870,15.901,25.810,17.852,19.846,5.896,8.969,9.885,22.797,13.907,15.879,16.890,23.821,9.873,15.923,0.994,9.912,22.809,24.760,23.837,21.866,9.905,6.939,9.961,4.928,14.853,22.792,17.832,16.887,7.989,10.929,7.860,8.021,18.844,19.863,20.818,8.986,8.904,9.892,10.883,17.904,24.805,25.838,24.788,22.808,7.952,14.901,12.864,22.813,31.728,25.787,26.788,27.715,17.824,18.841,25.789,32.746,40.671,32.750,24.790,12.855,7.005,1.060,6.942,9.918,15.863,15.821,9.914,7.918,0.020
1,2025-04-16 20:01:17.550,96,41,0,0.022,5.976,10.893,2.964,6.945,11.857,9.979,0.959,6.918,6.910,16.881,12.874,11.868,21.829,15.847,7.919,6.925,10.936,18.850,14.875,13.903,21.847,22.795,7.969,8.905,8.849,14.867,15.874,25.797,17.803,19.802,5.970,8.927,9.940,22.870,13.889,15.885,16.858,23.803,9.897,15.865,1.025,9.937,22.835,24.782,23.747,21.869,9.888,6.975,9.959,4.974,14.903,22.857,17.896,16.873,7.970,10.960,7.982,7.899,18.858,19.816,20.849,8.965,8.931,9.872,10.906,17.856,24.847,25.775,24.798,22.880,7.926,14.869,12.846,22.828,31.769,25.772,26.804,27.740,17.874,18.864,25.813,32.717,40.709,32.791,24.794,12.911,6.957,0.995,6.934,9.884,15.870,15.890,9.879,7.905,-0.035
2,2025-04-16 20:01:17.560,96,41,0,-0.016,5.955,10.879,2.947,6.920,11.834,9.944,0.923,6.953,6.934,16.849,12.906,11.826,21.813,15.923,8.006,6.939,10.872,18.840,14.878,13.926,21.856,22.787,7.917,8.947,8.867,14.854,15.850,25.799,17.821,19.891,5.959,8.915,9.896,22.833,13.889,15.911,16.887,23.776,9.888,15.848,1.016,9.903,22.863,24.804,23.808,21.859,9.863,6.977,9.901,4.916,14.850,22.862,17.854,16.923,7.944,10.918,7.936,7.882,18.840,19.840,20.813,8.918,8.879,9.909,10.930,17.814,24.765,25.773,24.784,22.809,7.892,14.931,12.862,22.792,31.763,25.739,26.777,27.785,17.870,18.850,25.809,32.681,40.648,32.708,24.730,12.890,6.957,0.991,6.929,9.929,15.839,15.889,9.894,7.936,0.013
3,2025-04-16 20:01:17.571,96,41,0,-0.023,5.980,10.919,2.961,6.920,11.895,9.913,0.957,6.972,6.942,16.853,12.979,11.898,21.859,15.897,7.977,6.876,10.943,18.863,14.913,13.894,21.847,22.786,7.951,8.889,8.938,14.889,15.907,25.803,17.764,19.847,6.033,8.853,9.914,22.819,13.905,15.828,16.828,23.830,9.887,15.869,1.014,9.928,22.843,24.821,23.824,21.808,9.910,6.958,9.903,4.942,14.878,22.806,17.831,16.883,7.960,10.859,7.937,7.948,18.804,19.806,20.827,8.936,8.899,9.945,10.915,17.829,24.845,25.775,24.853,22.831,7.907,14.905,12.890,22.830,31.742,25.732,26.776,27.761,17.872,18.806,25.847,32.803,40.694,32.748,24.780,12.884,6.931,1.004,6.979,9.980,15.880,15.837,9.891,7.929,-0.050
4,2025-04-16 20:01:17.592,96,41,0,-0.007,5.955,10.887,3.022,6.902,11.850,9.922,1.003,6.934,6.963,16.877,12.904,11.888,21.812,15.872,7.953,6.897,10.911,18.827,14.869,13.864,21.799,22.768,7.992,8.967,8.913,14.945,15.867,25.797,17.859,19.730,6.011,8.924,9.882,22.866,13.898,15.884,16.820,23.809,9.958,15.857,0.962,9.969,22.764,24.817,23.771,21.836,9.913,6.963,9.982,5.016,14.885,22.780,17.805,16.837,7.930,10.950,7.917,7.936,18.828,19.802,20.876,8.914,8.908,9.902,10.877,17.856,24.785,25.811,24.761,22.810,7.981,14.866,12.960,22.823,31.724,25.777,26.822,27.764,17.812,18.919,25.789,32.738,40.721,32.707,24.840,12.893,6.905,0.976,6.984,9.857,15.875,15.816,9.931,7.882,0.003
5,2025-04-16 20:01:17.602,96,41,0,-0.017,5.955,10.919,3.032,6.977,11.923,9.889,0.953,6.960,6.942,16.897,12.902,11.921,21.761,15.864,7.944,6.940,10.872,18.854,14.896,13.859,21.825,22.830,7.949,8.966,8.896,14.847,15.849,25.813,17.837,19.848,5.958,8.886,9.910,22.786,13.877,15.914,16.859,23.787,9.884,15.883,0.995,9.930,22.834,24.757,23.794,21.821,9.909,6.892,9.895,4.936,14.930,22.789,17.896,16.887,7.958,10.932,7.902,7.974,18.839,19.810,20.828,8.900,8.908,9.892,10.937,17.865,24.867,25.753,24.809,22.848,7.941,14.876,12.895,22.856,31.643,25.811,26.790,27.831,17.809,18.826,25.804,32.718,40.722,32.731,24.773,12.876,6.908,0.942,6.973,9.923,15.861,15.850,9.920,7.851,0.011
6,2025-04-16 20:01:17.613,96,41,0,-0.014,5.962,10.898,2.992,6.944,11.918,9.928,1.012,6.965,6.991,16.844,12.896,11.909,21.771,15.869,7.990,6.917,10.942,18.852,14.892,13.882,21.829,22.820,7.937,8.939,8.944,14.856,15.847,25.751,17.879,19.873,5.970,8.897,9.896,22.808,13.855,15.817,16.909,23.831,9.900,15.903,0.991,9.917,22.814,24.779,23.782,21.753,9.959,6.978,9.906,5.009,14.864,22.806,17.841,16.867,7.932,10.902,7.983,7.913,18.888,19.857,20.843,8.922,8.922,9.898,10.910,17.827,24.793,25.790,24.846,22.829,7.885,14.849,12.907,22.789,31.711,25.775,26.829,27.754,17.906,18.861,25.845,32.769,40.680,32.773,24.748,12.876,6.910,1.012,6.889,9.903,15.828,15.829,9.926,7.961,0.017
7,2025-04-16 20:01:17.623,96,41,0,0.042,5.942,10.948,2.986,6.884,11.892,9.973,0.970,6.946,6.921,16.858,12.880,11.853,21.866,15.863,7.920,6.946,10.883,18.830,14.937,13.871,21.821,22.801,7.939,8.900,8.933,14.896,15.901,25.802,17.846,19.850,5.965,8.918,9.871,22.804,13.885,15.911,16.862,23.771,9.906,15.833,0.983,9.883,22.826,24.800,23.793,21.840,9.915,6.922,9.879,4.974,14.858,22.792,17.880,16.870,7.932,10.932,7.876,7.973,18.867,19.776,20.785,8.920,8.953,9.941,10.905,17.853,24.805,25.849,24.800,22.814,7.972,14.901,12.901,22.852,31.743,25.762,26.780,27.799,17.824,18.826,25.801,32.697,40.641,32.744,24.757,12.875,6.921,0.984,6.927,9.890,15.865,15.868,9.918,7.955,0.023
8,2025-04-16 20:01:17.634,96,41,0,0.002,5.986,10.915,3.031,6.898,11.885,9.918,1.040,6.972,6.964,16.810,12.886,11.927,21.869,15.930,7.916,6.891,10.911,18.811,14.849,13.900,21.772,22.757,7.953,8.939,8.882,14.873,15.846,25.815,17.822,19.862,5.956,8.943,9.865,22.815,13.925,15.889,16.886,23.765,9.893,15.883,0.985,9.850,22.862,24.856,23.778,21.869,9.887,6.944,9.868,4.923,14.888,22.845,17.830,16.820,7.932,10.876,7.943,7.975,18.845,19.843,20.844,8.943,8.959,9.965,10.923,17.819,24.834,25.795,24.851,22.776,7.938,14.921,12.873,22.752,31.776,25.781,26.810,27.761,17.848,18.836,25.799,32.714,40.667,32.784,24.771,12.939,6.961,0.978,6.937,9.930,15.904,15.939,9.894,7.911,0.041
9,2025-04-16 20:01:17.644,96,41,0,-0.009,5.997,10.912,2.976,6.969,11.840,9.938,0.950,6.990,6.960,16.844,12.884,11.855,21.830,15.806,7.944,6.939,10.880,18.880,14.867,13.910,21.827,22.818,7.916,8.970,8.970,14.908,15.855,25.844,17.860,19.841,5.913,8.917,9.912,22.836,13.863,15.827,16.890,23.863,9.935,15.936,1.026,9.887,22.869,24.825,23.759,21.833,9.951,6.936,9.876,4.958,14.883,22.762,17.921,16.898,7.894,10.957,7.916,7.973,18.875,19.768,20.765,8.930,8.934,9.914,10.929,17.860,24.813,25.782,24.793,22.827,7.938,14.835,12.919,22.801,31.768,25.779,26.738,27.801,17.875,18.832,25.822,32.751,40.667,32.717,24.876,12.891,6.927,0.986,6.988,9.896,15.831,15.886,9.935,7.960,-0.014
