SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
1,2025-10-12 18:08:37.234,96,89,0,1,9,11,17,13,14,6,0,18,31,20,28,23,29,30,1,17,28,27,26,31,18,30,1,18,29,33,37,35,36,43,0,20,39,64,63,50,37,48,1,16,63,89,87,61,45,37,5,7,42,74,72,51,49,47,3,3,19,51,61,56,53,45,9,2,19,40,47,47,48,29,7,5,28,32,40,42,53,44,18,5,27,51,42,57,55,48,26,1,11,14,17,19,32,9,0
2,2025-10-12 18:08:37.244,96,90,0,1,9,11,17,13,14,6,0,18,31,20,28,23,29,30,1,17,28,27,26,31,18,30,1,18,29,33,37,35,36,43,0,20,40,64,63,50,37,48,1,16,63,90,87,60,45,37,6,7,43,75,72,51,49,47,3,3,20,51,61,56,53,46,9,2,19,40,47,47,48,30,7,5,28,32,40,42,53,45,18,5,27,51,42,57,55,48,27,1,11,14,18,19,32,9,0
3,2025-10-12 18:08:37.256,96,91,0,1,9,11,17,13,15,6,0,18,31,20,28,23,29,31,1,17,28,27,26,31,19,30,1,18,29,33,37,35,36,43,0,21,40,64,63,50,37,49,2,17,65,91,87,59,45,37,6,7,45,77,72,51,49,47,3,4,21,53,61,56,53,46,10,3,19,40,47,47,48,30,7,6,28,33,41,42,53,45,18,5,27,51,42,57,55,49,27,1,11,14,18,19,32,9,0
4,2025-10-12 18:08:37.277,96,91,0,1,9,11,17,13,15,7,0,18,31,20,28,23,29,31,1,17,29,27,26,31,19,30,1,19,29,33,37,35,36,43,0,21,41,64,63,50,37,49,2,17,65,91,87,59,45,37,6,8,46,78,72,51,49,47,3,4,22,54,62,56,53,46,10,3,19,40,48,48,48,30,7,6,29,33,41,42,53,45,18,5,27,51,42,57,55,49,27,1,11,14,18,19,32,10,0
5,2025-10-12 18:08:37.287,96,91,0,1,10,12,17,13,15,7,0,18,32,20,29,23,29,31,1,17,29,28,26,31,19,31,1,19,29,33,37,35,36,43,0,22,41,64,61,50,37,49,2,17,65,91,87,59,45,38,6,8,47,79,73,51,49,47,3,4,23,55,63,56,53,46,10,3,19,40,48,48,48,30,7,7,29,33,41,42,54,45,18,5,27,51,42,58,55,49,27,1,11,14,18,19,32,10,0
6,2025-10-12 18:08:37.297,96,91,0,1,10,12,17,14,15,7,0,18,32,20,29,23,29,31,1,18,30,29,26,32,19,31,1,20,29,33,37,35,36,43,0,22,41,64,61,50,37,49,2,17,65,91,87,59,45,38,6,8,47,79,74,51,49,48,3,4,24,57,65,58,54,46,10,4,20,41,49,49,49,31,7,7,30,33,42,43,54,46,18,6,27,51,42,58,56,49,27,1,11,15,18,19,33,10,0
7,2025-10-12 18:08:37.308,96,91,0,1,10,12,17,14,15,7,0,18,32,20,29,24,29,31,1,18,30,29,27,32,19,31,1,20,29,33,37,35,36,43,0,23,41,64,61,50,37,49,2,18,65,91,87,59,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,33,42,43,54,46,19,6,27,52,43,58,56,49,27,1,11,15,18,19,33,10,0
8,2025-10-12 18:08:37.319,96,91,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,33,37,35,36,43,0,23,41,64,61,50,37,49,2,18,65,91,87,59,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,27,1,11,15,18,19,33,10,0
9,2025-10-12 18:08:37.329,96,91,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,33,37,35,36,43,0,23,41,64,61,50,37,49,2,18,65,91,87,59,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
10,2025-10-12 18:08:37.340,96,91,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,33,37,35,36,43,0,23,41,64,60,48,37,49,2,18,65,91,87,58,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
11,2025-10-12 18:08:37.351,96,91,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,33,37,35,36,43,0,23,41,63,59,47,37,49,2,18,65,91,87,57,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
12,2025-10-12 18:08:37.360,96,91,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,33,37,35,36,43,0,23,41,62,57,46,37,49,2,18,65,91,87,57,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
13,2025-10-12 18:08:37.372,96,90,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,33,37,35,36,43,0,23,41,58,53,44,37,49,2,18,65,90,85,55,45,38,6,8,47,79,74,51,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
14,2025-10-12 18:08:37.382,96,88,0,1,10,12,18,14,15,7,0,19,33,20,29,24,30,31,1,18,30,29,27,32,19,31,1,20,30,31,37,35,36,43,0,23,39,54,49,40,37,49,1,18,63,88,82,53,45,38,6,8,46,79,74,50,49,48,3,4,24,57,66,58,54,46,10,4,20,41,49,49,49,31,8,7,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
15,2025-10-12 18:08:37.393,96,87,0,1,10,12,18,14,15,7,0,19,33,20,28,24,30,31,1,18,30,29,27,32,19,31,1,20,30,30,36,35,36,43,0,23,39,52,48,39,36,49,0,18,63,87,80,51,44,38,6,8,46,79,74,48,49,48,3,4,24,57,66,57,54,46,10,4,20,41,49,49,49,31,8,6,30,34,42,43,54,46,19,6,27,52,43,58,56,49,28,1,12,15,18,19,33,10,0
16,2025-10-12 18:08:37.415,96,85,0,1,10,11,17,12,15,7,0,18,32,20,27,23,30,31,0,17,30,28,26,30,19,31,0,20,30,27,33,33,36,43,0,23,38,50,45,37,34,49,0,18,62,85,76,48,42,37,6,8,45,78,72,45,47,48,3,4,23,57,64,55,52,46,10,4,20,40,48,49,49,30,8,5,29,34,41,42,54,44,19,6,27,52,41,56,56,49,28,1,12,13,18,19,32,10,0
17,2025-10-12 18:08:37.425,96,84,0,1,10,11,16,12,15,7,0,17,32,19,26,22,30,31,0,16,30,28,25,29,19,31,0,20,30,26,32,32,35,42,0,22,37,49,44,36,33,49,0,17,61,84,74,47,41,37,6,8,45,77,70,44,47,47,3,4,23,56,62,54,52,46,9,4,20,39,47,48,48,30,8,5,29,33,40,41,54,44,19,6,27,51,41,55,56,49,28,1,12,12,18,19,31,10,0
18,2025-10-12 18:08:37.435,96,82,0,1,10,10,15,12,15,7,0,15,31,18,25,21,29,31,0,14,30,26,24,28,19,30,0,19,30,24,30,31,34,41,0,21,37,47,42,34,33,49,0,16,59,82,72,45,39,36,6,8,44,75,68,42,47,47,3,4,21,54,60,53,51,45,8,4,19,38,46,47,48,29,7,5,29,33,38,40,53,43,19,6,27,50,40,54,56,49,28,1,12,12,17,19,31,10,0
19,2025-10-12 18:08:37.445,96,80,0,1,10,9,14,11,14,6,0,15,31,17,24,21,28,30,0,13,30,25,23,28,18,28,0,18,29,24,28,29,34,40,0,20,36,46,39,32,32,48,0,14,58,80,69,43,38,35,6,7,43,73,66,41,46,46,3,4,20,52,58,53,50,44,7,4,19,38,45,46,47,29,6,4,29,32,36,40,52,42,19,5,27,49,39,53,55,48,27,1,12,12,16,19,30,10,0
20,2025-10-12 18:08:37.458,96,80,0,1,9,9,14,10,14,6,0,14,30,17,24,20,28,30,0,13,30,25,23,27,17,27,0,17,28,23,27,28,33,39,0,19,35,45,38,31,31,47,0,13,57,80,68,43,38,34,6,6,42,73,65,40,45,45,3,3,19,52,57,52,49,43,7,3,19,37,44,46,47,28,6,4,28,32,35,39,51,42,19,5,27,49,38,52,55,47,27,1,12,12,16,19,29,10,0
21,2025-10-12 18:08:37.468,96,78,0,1,9,8,12,9,13,5,0,14,29,15,23,18,26,29,0,11,30,23,22,25,16,25,0,15,27,23,25,26,32,37,0,17,34,44,36,29,29,44,0,11,55,78,65,41,36,33,5,4,40,71,63,38,43,43,3,0,18,51,55,50,47,42,6,1,18,36,42,44,45,27,4,3,28,31,34,38,50,41,18,4,26,47,37,51,53,46,25,0,12,11,15,17,27,10,0
22,2025-10-12 18:08:37.478,96,77,0,1,8,7,11,8,12,5,0,14,28,14,23,17,25,29,0,11,29,22,21,25,16,23,0,15,26,22,24,25,31,36,0,16,33,43,36,27,27,42,0,10,53,77,63,40,35,33,4,4,39,69,61,37,42,42,3,0,17,50,54,49,46,42,5,1,18,35,41,44,44,27,3,3,27,30,33,37,49,40,17,3,25,46,37,50,53,45,24,0,12,11,15,17,26,10,0
23,2025-10-12 18:08:37.489,96,75,0,1,7,6,9,7,11,4,0,13,27,13,21,15,24,27,0,10,28,20,19,23,15,21,0,14,25,20,23,23,28,34,0,14,31,41,34,25,25,39,0,8,51,75,59,38,33,31,3,3,37,66,58,35,40,40,3,0,15,46,50,47,43,41,3,0,17,33,37,42,42,25,0,1,25,29,31,35,47,39,15,1,24,44,35,48,51,44,23,0,10,10,13,16,24,10,0
24,2025-10-12 18:08:37.499,96,74,0,1,6,5,8,7,11,4,0,13,26,12,20,14,23,26,0,9,27,19,18,21,14,19,0,13,24,19,23,22,26,33,0,13,30,40,33,24,24,37,0,8,50,74,57,37,32,30,3,3,36,64,56,34,39,39,1,0,14,44,48,46,42,40,3,0,16,32,36,41,42,25,0,1,24,28,30,34,46,38,14,1,24,43,34,48,50,43,22,0,9,10,12,16,24,10,0
25,2025-10-12 18:08:37.510,96,71,0,1,5,4,7,6,10,3,0,13,25,11,18,13,21,25,0,8,25,17,16,18,12,17,0,11,23,17,21,20,23,31,0,11,29,38,30,22,22,33,0,7,48,71,53,34,29,28,1,3,34,61,51,31,35,36,0,0,12,40,43,43,39,37,3,0,15,30,33,38,40,23,0,1,22,26,29,33,44,36,12,1,23,41,32,47,48,41,20,0,8,9,9,14,22,9,0
