SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-16 19:55:14.561,96,25,0,0.010,9.021,-0.038,0.003,0.004,-0.031,0.010,-0.033,7.005,6.975,7.990,0.998,-0.025,12.004,0.005,0.022,16.991,12.039,17.956,11.998,8.036,6.989,2.027,0.010,10.998,12.011,11.958,20.016,11.986,5.023,4.011,0.023,11.998,17.994,13.033,10.014,9.040,9.990,7.033,0.008,25.043,8.990,6.001,12.981,13.983,8.998,3.994,-0.047,12.018,19.984,7.021,7.021,8.980,9.996,3.992,-0.032,7.982,3.977,1.023,10.002,7.024,7.007,0.980,-0.026,10.033,7.032,17.010,14.007,11.009,9.988,14.016,0.011,15.992,6.984,16.008,14.991,16.007,10.995,13.011,0.017,20.049,19.030,21.006,19.053,14.010,14.988,2.980,0.034,0.024,-0.002,3.987,4.985,0.985,1.009,0.022,0.013
1,2025-04-16 19:55:14.572,96,25,0,0.014,8.995,0.010,0.028,-0.008,-0.023,-0.008,0.005,7.019,6.998,8.007,0.988,-0.014,12.003,0.025,0.007,17.004,12.009,18.033,12.011,8.011,7.032,1.991,0.023,11.015,12.023,12.021,20.052,12.000,5.010,4.003,-0.004,12.027,17.999,12.957,9.988,9.029,10.024,7.042,0.040,25.016,9.000,5.988,13.009,13.995,9.011,3.997,0.042,11.987,20.009,7.009,6.997,9.018,10.005,4.016,-0.014,7.988,4.004,1.010,10.009,6.985,6.987,0.956,-0.011,10.047,6.993,16.974,13.987,11.011,10.007,14.014,0.015,16.017,7.026,15.992,14.990,16.056,11.010,13.007,0.005,20.004,19.024,20.974,19.026,14.023,14.954,2.993,-0.023,0.001,-0.020,3.996,5.001,1.001,1.009,0.002,-0.022
2,2025-04-16 19:55:14.583,96,25,0,-0.001,8.982,-0.001,0.009,0.005,-0.004,0.007,0.010,6.997,7.007,8.014,1.017,-0.002,12.002,-0.001,0.022,17.044,11.989,17.990,11.996,8.007,6.994,2.006,0.044,10.978,11.984,12.009,20.056,11.992,4.992,3.997,0.010,11.998,17.980,13.030,10.005,9.014,10.035,7.017,0.013,25.040,8.992,6.007,12.996,13.973,8.980,4.013,-0.020,12.020,19.983,7.000,7.011,8.977,10.002,4.005,-0.024,8.009,4.018,0.978,9.954,6.973,7.006,1.015,0.000,10.008,7.030,17.028,14.011,10.989,10.009,14.010,-0.009,15.986,6.980,15.986,15.030,16.004,10.985,12.988,0.011,19.991,19.042,21.007,19.018,14.036,15.020,2.988,0.013,0.006,-0.001,4.003,4.982,1.003,1.003,0.008,-0.011
3,2025-04-16 19:55:14.592,96,25,0,0.003,9.010,-0.004,0.021,-0.002,0.010,-0.012,-0.006,7.023,6.980,8.004,1.032,-0.022,11.981,-0.004,0.028,16.998,12.025,18.012,12.010,8.024,6.990,1.973,-0.004,11.007,12.032,12.001,19.976,12.007,4.999,3.993,0.007,11.974,18.035,12.995,10.008,8.984,9.971,7.042,0.024,25.038,9.015,5.999,12.993,14.013,9.015,4.013,-0.020,11.978,20.002,7.008,7.004,9.020,10.003,3.997,-0.014,8.029,3.988,0.996,9.995,7.018,6.971,1.020,-0.022,9.995,7.028,17.012,13.993,10.984,10.008,14.005,-0.006,16.002,6.997,16.008,14.992,15.978,11.015,13.006,-0.015,19.980,19.008,21.029,19.016,13.997,15.017,3.016,-0.001,-0.006,0.001,4.019,5.037,1.031,1.004,0.004,-0.003
4,2025-04-16 19:55:14.613,96,25,0,-0.001,8.971,-0.010,-0.023,0.006,0.008,0.014,0.048,6.994,7.002,8.000,1.020,0.021,11.982,0.027,-0.009,17.031,12.016,17.996,11.981,7.978,7.004,2.022,-0.023,11.010,12.022,11.980,19.977,11.953,4.997,4.012,-0.006,11.965,17.996,12.991,9.992,9.013,10.035,7.032,0.015,25.024,9.038,5.964,13.018,14.001,9.006,4.009,-0.005,11.978,20.036,6.957,7.040,8.993,10.031,4.013,-0.011,8.013,4.011,1.014,10.003,7.000,7.010,0.984,0.009,9.984,6.997,17.041,13.994,11.016,9.996,14.040,0.015,16.019,6.998,16.011,14.991,15.996,10.983,13.029,0.011,20.030,18.975,21.004,19.020,14.019,15.001,3.019,-0.013,-0.035,0.021,3.966,4.973,0.983,1.023,0.006,-0.020
5,2025-04-16 19:55:14.625,96,25,0,-0.023,8.970,-0.003,0.006,0.027,-0.001,0.007,-0.002,6.985,7.003,8.016,0.996,-0.017,11.997,-0.003,-0.007,17.002,11.989,18.021,12.054,7.976,7.004,1.995,0.017,10.988,11.973,12.004,20.010,12.002,5.023,4.023,0.003,12.005,17.987,13.019,10.005,9.026,9.973,7.007,0.022,25.006,8.997,6.001,13.031,14.004,9.018,3.999,0.037,12.016,19.988,6.988,6.988,8.975,9.997,3.985,0.032,8.031,4.035,0.966,10.023,7.021,7.006,1.022,-0.011,9.994,7.004,17.012,14.015,11.030,9.979,14.002,-0.002,16.008,7.014,16.019,15.017,16.024,11.005,13.024,0.018,19.994,19.005,21.009,19.005,14.002,14.999,2.965,0.028,0.013,-0.014,4.008,5.003,0.985,1.001,0.015,-0.003
6,2025-04-16 19:55:14.633,96,25,0,0.007,8.996,-0.038,-0.014,0.008,0.016,0.000,0.001,6.979,7.000,8.009,1.015,0.005,12.001,-0.007,-0.003,17.007,12.007,18.024,12.006,7.992,7.025,1.990,-0.007,10.994,11.985,11.983,19.992,12.001,5.011,3.980,-0.025,11.987,18.004,13.032,10.017,8.986,9.993,6.998,0.013,24.994,9.001,6.004,12.999,14.021,9.000,3.993,0.006,12.042,20.018,6.987,6.999,8.998,9.954,4.013,0.012,8.007,4.006,1.012,9.996,6.986,7.019,0.989,0.020,10.002,7.002,17.006,14.012,11.009,9.988,14.017,-0.004,16.027,7.011,15.991,14.987,16.011,11.028,12.978,0.036,19.990,19.013,21.002,19.007,14.030,14.960,3.023,-0.021,0.003,-0.018,4.004,4.981,1.006,1.025,-0.023,-0.031
7,2025-04-16 19:55:14.646,96,25,0,0.003,9.007,0.004,0.006,0.021,-0.029,-0.017,-0.004,7.002,7.007,8.008,1.004,0.033,12.011,0.025,-0.024,16.996,12.004,18.008,11.997,8.000,6.989,2.029,0.025,11.016,12.015,11.997,20.007,12.006,4.999,3.981,0.028,12.000,18.004,12.974,10.039,9.038,10.027,7.027,-0.006,24.999,8.985,6.024,13.026,14.017,9.007,4.013,0.001,12.021,20.009,7.015,7.021,8.999,10.019,4.005,-0.008,7.997,4.015,1.015,10.010,7.005,6.967,1.037,-0.011,10.019,7.020,16.999,13.982,11.042,10.020,13.997,-0.000,16.008,7.018,16.031,15.034,16.040,11.024,12.993,-0.004,20.030,19.020,21.025,19.013,13.955,14.985,3.007,0.018,0.022,0.017,3.978,5.005,1.017,0.996,-0.014,0.001
8,2025-04-16 19:55:14.656,96,25,0,0.025,9.034,-0.011,-0.006,-0.005,0.002,-0.025,-0.000,6.994,7.018,7.985,1.003,0.021,12.017,-0.002,0.013,17.031,12.026,18.004,12.005,8.024,6.994,2.006,0.015,10.968,12.000,11.997,20.001,11.984,5.023,3.971,0.049,12.024,17.985,13.022,9.997,9.004,10.007,6.972,-0.030,25.013,9.001,6.028,13.022,14.012,8.992,3.992,0.003,11.988,19.997,6.995,6.982,9.004,9.994,4.016,-0.006,7.979,3.982,0.990,10.006,7.032,7.019,0.976,0.009,9.985,7.015,17.003,14.015,11.015,10.031,14.038,0.016,15.978,7.037,15.984,15.049,16.019,11.005,13.033,0.003,20.009,19.005,21.021,19.020,14.057,14.996,3.004,0.003,0.006,0.014,3.967,5.006,0.993,0.991,-0.015,0.004
9,2025-04-16 19:55:14.666,96,25,0,0.008,8.988,-0.009,-0.027,0.049,-0.018,-0.021,-0.033,7.034,7.059,8.023,1.019,-0.003,11.982,-0.002,-0.019,16.987,12.035,17.990,12.008,7.977,6.979,1.970,0.005,11.012,12.000,11.998,20.002,12.005,5.004,4.003,0.030,12.025,17.997,12.985,10.000,8.987,9.974,6.972,0.008,25.054,8.982,5.999,13.005,14.029,8.994,4.007,-0.005,12.031,19.987,6.986,7.027,9.001,10.041,3.977,0.020,8.033,4.005,1.003,10.012,7.002,6.974,0.988,0.043,9.989,6.995,17.021,14.025,10.986,9.994,13.995,0.007,16.017,6.991,15.985,15.006,15.991,11.007,13.007,0.003,20.007,19.026,21.014,19.008,14.008,15.032,2.985,-0.024,-0.013,-0.016,4.018,5.010,0.970,0.998,0.035,-0.024
