SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-16 19:55:14.561,96,25,0,0.010,9.077,-0.032,0.015,0.006,0.014,-0.015,0.050,7.096,7.004,8.037,1.027,0.013,12.075,0.054,0.023,17.117,12.171,18.122,12.114,8.079,7.094,2.023,-0.043,11.156,12.116,12.034,20.134,12.075,4.996,4.010,0.060,12.082,18.098,13.135,10.069,9.076,10.098,7.111,0.022,25.168,9.081,6.036,13.101,14.139,9.041,3.975,0.002,12.079,20.132,7.041,7.112,9.096,10.065,4.027,0.016,8.068,4.018,1.041,10.103,7.025,7.063,1.011,0.013,10.109,7.028,17.204,14.090,11.093,10.116,14.054,-0.032,16.158,7.059,16.159,15.056,16.189,11.044,13.104,-0.054,20.154,19.174,21.129,19.155,14.120,15.128,3.051,-0.073,-0.010,0.023,3.993,5.063,0.954,1.008,0.062,-0.001
1,2025-04-16 19:55:14.572,96,25,0,-0.011,9.064,0.011,-0.014,0.039,0.012,-0.030,-0.042,7.035,7.062,8.075,0.996,0.038,12.096,0.021,0.038,17.163,12.089,18.121,12.117,8.098,7.097,2.017,0.011,11.095,12.043,12.079,20.096,12.058,5.015,4.016,-0.068,12.140,18.131,13.095,10.081,9.090,10.013,7.053,0.032,25.225,9.110,6.032,13.116,14.127,9.099,4.008,-0.041,12.093,20.210,7.088,7.055,9.072,10.160,4.065,0.039,8.079,3.983,1.045,10.066,6.992,7.084,0.957,-0.015,10.096,6.994,17.147,14.111,11.070,10.079,14.082,0.001,16.124,7.009,16.101,15.184,16.116,11.106,13.032,0.010,20.270,19.132,21.140,19.094,14.101,15.130,3.033,-0.043,0.032,-0.020,4.029,5.042,0.993,1.038,-0.006,-0.076
2,2025-04-16 19:55:14.583,96,25,0,0.025,9.036,-0.043,-0.018,0.045,0.050,0.026,0.022,7.031,7.107,8.108,1.053,0.066,12.126,0.079,0.054,17.154,12.125,18.148,12.092,8.063,7.099,1.972,0.069,11.090,12.112,12.106,20.136,12.060,5.053,4.035,-0.026,12.105,18.078,13.102,10.027,9.038,10.113,7.061,-0.097,25.219,9.016,6.067,13.052,14.046,9.047,3.978,0.021,12.197,20.152,7.046,7.034,9.034,10.060,4.029,0.027,8.081,4.035,1.014,10.091,7.054,7.018,0.948,-0.035,10.009,7.028,17.116,14.083,11.052,10.034,14.070,-0.020,16.087,7.106,16.143,15.106,16.171,11.059,13.100,0.008,20.153,19.150,21.199,19.170,14.053,15.133,3.062,0.012,0.008,-0.046,4.032,5.053,1.039,1.021,0.019,-0.030
3,2025-04-16 19:55:14.592,96,25,0,0.019,9.100,0.023,-0.039,-0.008,0.052,0.007,0.036,7.002,7.041,8.029,0.970,-0.036,12.113,-0.034,-0.022,17.123,12.091,18.100,12.100,8.006,7.000,2.077,0.054,11.118,12.092,12.061,20.128,12.149,5.064,3.998,-0.005,12.071,18.155,13.101,10.044,9.089,10.048,7.056,-0.027,25.155,9.076,6.071,13.071,14.081,9.138,4.004,0.008,12.041,20.213,7.122,7.080,9.046,10.027,4.058,-0.057,8.070,4.058,1.038,10.077,7.111,7.033,1.038,-0.019,10.020,7.005,17.099,14.047,11.135,10.026,14.102,-0.023,16.087,7.085,16.100,15.069,16.081,11.151,13.096,0.038,20.185,19.148,21.178,19.200,14.057,15.122,3.010,-0.081,-0.006,-0.030,4.050,5.048,0.982,0.969,0.028,0.000
4,2025-04-16 19:55:14.613,96,25,0,0.043,9.090,0.046,0.019,0.021,0.001,-0.114,-0.039,7.046,7.028,8.036,0.948,-0.000,12.107,0.034,0.054,17.145,12.082,18.175,12.075,8.051,7.012,1.975,-0.027,11.080,12.157,12.010,20.186,12.080,5.032,4.059,-0.035,12.142,18.173,13.093,10.075,9.037,10.072,7.019,0.018,25.161,9.082,6.096,13.091,14.074,9.085,4.010,-0.000,12.115,20.220,7.047,7.056,9.072,10.040,4.057,0.011,8.103,4.029,1.017,10.110,7.033,6.973,1.063,-0.005,10.051,7.112,17.105,14.105,11.094,10.098,14.118,-0.043,16.064,7.043,16.094,15.169,16.103,11.089,13.086,0.050,20.180,19.167,21.225,19.167,14.089,15.103,2.994,0.014,-0.035,0.030,4.000,5.041,1.028,1.010,0.078,-0.084
5,2025-04-16 19:55:14.625,96,25,0,0.046,9.117,0.090,0.041,-0.029,0.013,0.002,-0.008,7.021,7.076,7.990,0.994,0.009,12.088,0.033,-0.025,17.105,12.062,18.093,12.123,8.039,7.093,2.032,0.010,11.051,12.103,12.095,20.176,12.120,4.993,4.065,-0.009,12.080,18.116,13.099,10.101,9.058,9.997,7.077,-0.047,25.197,8.999,6.018,13.141,14.144,9.058,4.019,-0.059,12.038,20.212,6.997,7.035,9.072,10.059,4.011,0.011,7.999,4.051,1.034,10.122,6.994,7.047,1.021,-0.018,10.020,6.986,17.134,14.099,11.032,10.088,14.111,-0.009,16.206,7.021,16.145,15.084,16.121,11.010,13.142,-0.003,20.132,19.178,21.137,19.125,14.118,15.142,2.998,-0.009,0.019,0.055,4.021,4.969,1.017,1.039,-0.010,-0.016
6,2025-04-16 19:55:14.633,96,25,0,0.030,9.061,-0.064,0.002,-0.000,-0.014,-0.014,-0.021,7.101,7.079,8.065,1.014,0.019,12.110,0.020,0.025,17.110,12.067,18.088,12.056,8.077,7.001,1.982,0.058,11.086,12.047,12.041,20.123,12.147,5.071,4.042,-0.012,12.041,18.102,13.085,10.068,9.065,10.117,7.031,-0.081,25.204,9.119,6.032,13.128,14.104,9.036,4.050,-0.013,12.146,20.164,7.021,7.052,9.051,10.039,4.040,0.017,8.068,4.056,1.043,10.093,7.031,7.027,0.959,-0.009,10.057,7.056,17.181,14.208,11.084,10.050,14.112,0.018,16.155,7.042,16.120,15.163,16.138,11.169,13.092,0.044,20.109,19.198,21.189,19.154,14.107,15.116,3.078,-0.000,-0.029,0.014,4.004,5.010,1.025,0.965,0.046,0.035
7,2025-04-16 19:55:14.646,96,25,0,0.016,9.090,-0.023,0.063,-0.002,0.021,-0.005,-0.000,7.062,7.082,8.055,0.994,0.016,12.056,-0.025,-0.006,17.135,12.106,18.138,12.050,8.062,7.027,1.979,0.045,11.125,12.155,12.051,20.086,12.049,5.055,4.036,-0.005,12.042,18.141,13.084,10.048,9.081,10.083,7.076,-0.102,25.230,9.140,6.037,13.124,14.123,9.119,4.015,0.002,12.052,20.174,7.040,7.129,9.097,10.053,4.096,-0.062,8.091,4.009,1.053,10.066,7.030,7.052,0.940,-0.014,10.043,7.006,17.185,14.178,11.115,10.076,14.057,0.058,16.146,7.067,16.151,15.164,16.102,11.135,13.132,-0.005,20.165,19.136,21.210,19.167,14.063,15.090,3.056,-0.068,0.017,-0.003,4.038,5.014,0.974,1.019,0.010,-0.003
8,2025-04-16 19:55:14.656,96,25,0,-0.041,9.144,-0.030,-0.041,0.015,0.036,-0.011,0.042,7.077,7.101,8.038,1.001,0.041,12.039,-0.012,0.020,17.181,12.046,18.060,12.103,8.116,7.010,2.002,-0.024,11.047,12.125,12.046,20.189,12.133,5.005,4.039,-0.023,12.134,18.142,13.109,10.147,9.030,10.103,7.046,-0.019,25.217,9.062,6.078,13.128,14.117,9.088,4.105,-0.018,12.155,20.116,7.101,7.048,9.044,10.091,3.990,0.006,8.056,4.066,0.974,10.113,7.043,7.087,0.957,-0.002,10.043,7.049,17.130,14.092,11.044,10.074,14.128,-0.048,16.112,7.084,16.179,15.138,16.035,11.078,13.087,0.036,20.123,19.144,21.164,19.137,14.126,15.051,2.941,0.021,0.005,0.002,3.997,5.029,1.044,1.025,0.014,-0.029
9,2025-04-16 19:55:14.666,96,25,0,0.030,9.057,0.007,-0.054,-0.007,0.001,0.014,0.058,7.101,7.071,8.041,1.053,0.009,12.113,0.023,-0.060,17.176,12.129,18.179,12.045,8.003,7.113,2.039,0.017,11.073,12.122,12.074,20.179,12.058,5.010,4.042,-0.018,12.077,18.166,13.041,10.063,9.052,10.091,7.046,-0.003,25.228,9.007,6.003,13.140,14.159,9.051,4.017,0.004,12.089,20.175,6.998,7.038,9.043,10.066,4.112,-0.003,8.021,4.031,1.071,10.082,7.107,7.064,0.966,-0.021,10.118,7.028,17.145,14.161,11.068,10.101,14.114,-0.026,16.171,7.061,16.076,15.137,16.056,11.080,13.075,-0.081,20.090,19.122,21.169,19.114,14.108,15.100,3.041,0.022,-0.054,-0.005,4.032,5.017,0.991,0.948,-0.027,-0.011
